지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2)
108,서울,2022-01-01 00:00,-8.5,,1.9,41,
108,서울,2022-01-01 01:00,-9.2,,1.8,42,
108,서울,2022-01-01 02:00,-9.5,,1.2,43,
108,서울,2022-01-01 03:00,-9.3,,1.4,46,
108,서울,2022-01-01 04:00,-9.6,,1.7,48,
108,서울,2022-01-01 05:00,-9.7,,.8,51,
108,서울,2022-01-01 06:00,-9.8,,1.9,53,
108,서울,2022-01-01 07:00,-10.1,,1.9,55,
108,서울,2022-01-01 08:00,-10.2,,2.5,56,0
108,서울,2022-01-01 09:00,-9.1,,2.1,56,.3
108,서울,2022-01-01 10:00,-6.8,,2.3,42,.84
108,서울,2022-01-01 11:00,-4.3,,.9,37,1.37
108,서울,2022-01-01 12:00,-2.3,,1.2,34,1.7
108,서울,2022-01-01 13:00,-.1,,1.5,32,1.82
108,서울,2022-01-01 14:00,1.3,,2.2,32,1.73
108,서울,2022-01-01 15:00,1.9,,1.7,35,1.37
108,서울,2022-01-01 16:00,1.8,,1.4,37,.86
108,서울,2022-01-01 17:00,.5,,1.5,38,.38
108,서울,2022-01-01 18:00,-.9,,.7,42,.02
108,서울,2022-01-01 19:00,-1.2,,.9,45,
108,서울,2022-01-01 20:00,-1.6,,.9,47,
108,서울,2022-01-01 21:00,-2.4,,2.1,49,
108,서울,2022-01-01 22:00,-2.5,,1,49,
108,서울,2022-01-01 23:00,-2.6,,.9,52,
108,서울,2022-01-02 00:00,-2.8,,2.3,55,
108,서울,2022-01-02 01:00,-2.9,,2.1,57,
108,서울,2022-01-02 02:00,-2.6,,1.9,57,
108,서울,2022-01-02 03:00,-2.1,,2.5,56,
108,서울,2022-01-02 04:00,-1.9,,2,55,
108,서울,2022-01-02 05:00,-1.9,,2.3,56,
108,서울,2022-01-02 06:00,-1.9,0,2.5,66,
108,서울,2022-01-02 07:00,-2.2,,2,81,
108,서울,2022-01-02 08:00,-2.2,,2,83,0
108,서울,2022-01-02 09:00,-1.9,.3,1.4,82,.14
108,서울,2022-01-02 10:00,-.8,,.7,81,.44
108,서울,2022-01-02 11:00,0,,3.3,80,.55
108,서울,2022-01-02 12:00,1.4,,2.4,74,1.04
108,서울,2022-01-02 13:00,1.4,,3.6,67,1.71
108,서울,2022-01-02 14:00,2.4,,3.5,55,1.69
108,서울,2022-01-02 15:00,2.5,,3.3,46,1.52
108,서울,2022-01-02 16:00,2.5,,3,45,.95
108,서울,2022-01-02 17:00,1.2,,2.7,45,.45
108,서울,2022-01-02 18:00,-.5,,2.9,40,.03
108,서울,2022-01-02 19:00,-1.6,,2,41,
108,서울,2022-01-02 20:00,-2.6,,1.6,46,
108,서울,2022-01-02 21:00,-2.9,,2.7,48,
108,서울,2022-01-02 22:00,-3.8,,2.1,49,
108,서울,2022-01-02 23:00,-4.4,,2.9,48,
108,서울,2022-01-03 00:00,-5.2,,1.6,51,
108,서울,2022-01-03 01:00,-5.8,,2.1,52,
108,서울,2022-01-03 02:00,-6.4,,1.7,56,
108,서울,2022-01-03 03:00,-7,,1.6,59,
108,서울,2022-01-03 04:00,-7.2,,1.3,61,
108,서울,2022-01-03 05:00,-7.4,,.3,59,
108,서울,2022-01-03 06:00,-7.8,,2.1,55,
108,서울,2022-01-03 07:00,-7.7,,2,54,
108,서울,2022-01-03 08:00,-7.6,,1.6,55,0
108,서울,2022-01-03 09:00,-6.9,,1.7,55,.29
108,서울,2022-01-03 10:00,-4,,1.2,55,.79
108,서울,2022-01-03 11:00,-1.4,,1.5,44,1.29
108,서울,2022-01-03 12:00,.9,,2.1,36,1.64
108,서울,2022-01-03 13:00,1.7,,2.8,43,1.75
108,서울,2022-01-03 14:00,2,,2.4,43,1.63
